epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,9883.78,1.20764,0.90697,1.3879,0.83416,0.80347,0.87208,0.54231,1.30299,0.69388,1.48649,0.006931,0.006931,0.006931
95,9986.61,1.21229,0.9089,1.39008,0.83861,0.80101,0.87134,0.54172,1.30282,0.69653,1.48366,0.006898,0.006898,0.006898
96,10089.1,1.20054,0.91521,1.39197,0.84667,0.79405,0.87531,0.54266,1.29506,0.70213,1.4801,0.006865,0.006865,0.006865
97,10195.2,1.19727,0.91035,1.38251,0.82413,0.82298,0.87277,0.54511,1.29881,0.69013,1.48206,0.006832,0.006832,0.006832
98,10298.8,1.19169,0.87298,1.37525,0.84262,0.79686,0.86985,0.53869,1.29737,0.68584,1.47875,0.006799,0.006799,0.006799
99,10401.1,1.1858,0.8901,1.37152,0.87708,0.77384,0.86751,0.53022,1.29003,0.67871,1.47619,0.006766,0.006766,0.006766
100,10503.6,1.1965,0.89634,1.3782,0.84922,0.80639,0.87963,0.54145,1.29198,0.67493,1.46532,0.006733,0.006733,0.006733
101,10608.1,1.18779,0.88648,1.37093,0.86636,0.78393,0.87801,0.54194,1.28247,0.67262,1.46339,0.0067,0.0067,0.0067
102,10710.3,1.1876,0.88912,1.3754,0.82944,0.79781,0.87795,0.55009,1.27618,0.66514,1.46063,0.006667,0.006667,0.006667
103,10813.9,1.17144,0.87389,1.35834,0.83502,0.80772,0.86692,0.54504,1.27648,0.66676,1.46202,0.006634,0.006634,0.006634
104,10916.4,1.18168,0.8867,1.3713,0.8483,0.79962,0.87159,0.55019,1.26979,0.65983,1.45435,0.006601,0.006601,0.006601
105,11019.3,1.17326,0.87186,1.36313,0.8603,0.77671,0.86828,0.54067,1.2746,0.66786,1.45648,0.006568,0.006568,0.006568
106,11122.2,1.17847,0.86849,1.35669,0.86162,0.78493,0.87509,0.54064,1.27453,0.66387,1.4526,0.006535,0.006535,0.006535
107,11224.5,1.17297,0.86124,1.35737,0.82574,0.83045,0.87864,0.54473,1.26935,0.66502,1.44812,0.006502,0.006502,0.006502
108,11329,1.16318,0.86285,1.35084,0.83073,0.82658,0.87613,0.54513,1.26694,0.67533,1.44426,0.006469,0.006469,0.006469
109,11431,1.16574,0.85314,1.35415,0.85317,0.80733,0.87571,0.53919,1.27258,0.66949,1.45145,0.006436,0.006436,0.006436
110,11532.9,1.15978,0.85073,1.34678,0.83991,0.82604,0.87854,0.53884,1.26903,0.66387,1.4482,0.006403,0.006403,0.006403
111,11635.4,1.15454,0.85718,1.35209,0.84398,0.82975,0.87819,0.53751,1.26195,0.65955,1.44804,0.00637,0.00637,0.00637
112,11738.2,1.16197,0.84967,1.34718,0.83859,0.83537,0.88149,0.54348,1.26498,0.66313,1.44572,0.006337,0.006337,0.006337
113,11841.1,1.15215,0.84386,1.3423,0.82615,0.83759,0.88097,0.53471,1.26275,0.66341,1.4435,0.006304,0.006304,0.006304
114,11942.8,1.1364,0.86297,1.34022,0.86175,0.80259,0.88321,0.54072,1.25858,0.65951,1.44768,0.006271,0.006271,0.006271
